Salary,Name,POS,Bats,Throws,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
9000000.00,Andrew Miller,Closer,,L,Yankees,,,,,,,,,,,,,,,,,,,2,
9000000.00,Jason Hammel,SP,,R,,,,,,,,,,,,,,,,,,,,2.4,
9250000.00,Craig Kimbrel,Closer,,R,Padres,,,,,,,,,,,,,,,,,,,1.5,
9500000.00,Dexter Fowler,OF,S,,Cubs,156,690,17,102,46,20,12.20%,22.30%,0.161,0.308,0.25,0.346,0.411,0.333,110,0.2,8.1,0.6,3.2,4062
9775000.00,Mike Leake,SP,,R,,,,,,,,,,,,,,,,,,,,1.7,
9800000.00,Jeff Samardzija,SP,,R,,,,,,,,,,,,,,,,,,,,2.7,
10000000.00,Edwin Encarnacion,1B,R,,Blue Jays,146,624,39,94,111,3,12.30%,15.70%,0.28,0.267,0.277,0.372,0.557,0.392,150,-2.2,33.6,-11.7,4.5,2151
10000000.00,Johnny Cueto,SP,,R,,,,,,,,,,,,,,,,,,,,4.1,
10208333.00,Andrew McCutchen,OF,R,,Pirates,157,685,23,91,96,11,14.30%,19.40%,0.196,0.339,0.292,0.401,0.488,0.38,146,-1.1,36,-2.5,5.8,9847
10500000.00,Yoenis Cespedes,OF,R,,- - -,159,676,35,101,105,7,4.90%,20.90%,0.251,0.323,0.291,0.328,0.542,0.367,135,3.4,31.2,10.6,6.7,13110
11000000.00,Martin Prado,3B,R,,Marlins,129,551,9,52,63,1,6.70%,12.30%,0.106,0.313,0.288,0.338,0.394,0.318,100,0.1,-0.1,12.5,3.1,3312
11000000.00,Bartolo Colon,SP,,R,,,,,,,,,,,,,,,,,,,,2.5,
11000000.00,Ian Desmond,SS,R,,Nationals,156,641,19,69,62,13,7.00%,29.20%,0.151,0.307,0.233,0.29,0.384,0.294,83,5.5,-7.1,3.3,1.7,6885
11100000.00,Gio Gonzalez,SP,,L,,,,,,,,,,,,,,,,,,,,3.7,
11500018.00,Evan Longoria,3B,R,,Rays,160,670,21,74,73,3,7.60%,19.70%,0.166,0.309,0.27,0.328,0.435,0.327,110,1.5,9.1,8.1,4.2,9368
